Curso,Categoría,Link
Complete Linux Bootcamp for Beginners,Servidores,https://udemy-certificate.s3.amazonaws.com/pdf/UC-3b8c862c-17d2-49b6-aacf-d4ca046ce9ef.pdf
"Node JS Cluster with PM2, RabbitMQ, Redis and Nginx",Servidores,https://udemy-certificate.s3.amazonaws.com/pdf/UC-0f6fb223-7b93-45c2-a2a1-4044171d1ed0.pdf
Linux for Beginners,Servidores,https://udemy-certificate.s3.amazonaws.com/pdf/UC-f8516e52-a1ac-4020-aa12-b132727d607d.pdf
Windows Server 2019 Administration,Servidores,https://udemy-certificate.s3.amazonaws.com/pdf/UC-238dcea9-bc1e-4534-954b-2c47474bcd5c.pdf
Complete VMWare vSphere ESXi and vCenter Administration,Servidores,https://udemy-certificate.s3.amazonaws.com/pdf/UC-ab195376-8fa8-4960-8453-9357f1b31da8.pdf
Learn SQL Using PostgreSQL: From Zero to Hero,Motores de Bases de Datos,https://udemy-certificate.s3.amazonaws.com/pdf/UC-148665fb-db08-4a3e-b711-b26f3fa4264c.pdf
Learn Jira with real-world examples 2024 (+Confluence bonus),Metodologías,https://udemy-certificate.s3.amazonaws.com/pdf/UC-3364eeaf-b252-49ee-a39f-fe8d2121e09d.pdf
Agile Fundamentals: Including Scrum & Kanban,Metodologías,https://udemy-certificate.s3.amazonaws.com/pdf/UC-a869a36d-528d-496b-85e4-d5e60e15c0ff.pdf
Jira Advanced 2025 | Manage & Administer Jira Like a Pro,Metodologías,https://udemy-certificate.s3.amazonaws.com/pdf/UC-ff2fba38-9c9b-49b9-974f-4392724ec6a3.pdf
MasterClass Software Testing with Jira & Agile -Be a QA Lead,Metodologías,https://udemy-certificate.s3.amazonaws.com/pdf/UC-abcb8571-c2a6-4052-8e66-396ddd01cb2f.pdf
"Modern JavaScript (Complete guide, from Novice to Ninja)",Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-07e32514-6598-444c-bfc6-c4c096c8d03b.pdf
The Coding Interview Bootcamp: Algorithms + Data Structures,Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-ea304537-e335-4082-9586-89216a804fd1.pdf
"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-101fe5de-59c2-4e20-b64b-453ea152a140.pdf
Angular - The Complete Guide (2025 Edition),Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-3f6dde7d-fbe3-48b7-bba3-dc19a45ff74c.pdf
"Spring Security Fundamentals (OAuth ,JWT,CSRF and more)",Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-e744e89b-4fd3-4847-8c28-45f7580dd91c.pdf
"Node.js, Express, MongoDB & More: The Complete Bootcamp",Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-b02a2fa0-4ff6-4116-b936-f15ee27556e2.pdf
NestJS: The Complete Developer's Guide,Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-f99765ea-1d0b-4210-9dda-303f7fb840e2.pdf
NgRx (with NgRx Data) - The Complete Guide (Angular 19),Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-a9c62434-11e9-41cb-91ac-ec5eea7cd8e6.pdf
Flutter & Dart - The Complete Guide [2025 Edition],Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-ef95d7c8-8100-4862-9409-7254313dec45.pdf
Complete C# Masterclass,Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-111c9a87-090f-4c78-8e06-c514c26213db.pdf
The Complete Android 14 & Kotlin Development Masterclass,Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-b29f2b56-6012-4f15-996d-c93fe4098b37.pdf
TypeScript Design Patterns And SOLID Principles,Lenguajes y Lógica de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-9d90fb9e-64b9-44f9-974f-19508b5b2daf.pdf
Understanding TypeScript,Lenguajes de Programación,https://udemy-certificate.s3.amazonaws.com/pdf/UC-914531bb-818a-4361-a179-f13ad8cbea13.pdf
The Git & Github Bootcamp,Gestor de Versiones,https://udemy-certificate.s3.amazonaws.com/pdf/UC-29567540-633a-44cd-a76a-fbf344ea05fc.pdf
User Experience Design Essentials - Adobe XD UI UX Design,Diseño,https://udemy-certificate.s3.amazonaws.com/pdf/UC-6656bf9a-3b40-4a6f-963a-f42071497c79.pdf
Figma UI UX Design Advanced,Diseño,https://udemy-certificate.s3.amazonaws.com/pdf/UC-d9851e4b-a61b-4734-a484-f013bcf03ac4.pdf
Data Warehouse Fundamentals for Beginners,Datawarehouse,https://udemy-certificate.s3.amazonaws.com/pdf/UC-db6a9202-aa4a-4784-b73a-8ddb5b751a0d.pdf
 PL/SQL by Example - Beginner to Advanced PL/SQL,Datawarehouse,https://udemy-certificate.s3.amazonaws.com/pdf/UC-58d9772b-906d-4633-8fe1-28e03bd1c2f3.pdf
Complete Introduction to Looker Studio (Google Data Studio),Datawarehouse,https://udemy-certificate.s3.amazonaws.com/pdf/UC-e3d98459-ef47-4087-9363-9e36ba690ba1.pdf
